Avant Garde,Team Regicide,20170728,3,1.29,N/a,3.64,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-team-regicide-league-of-legends-nVHcP5nT/
Legacy eSports,Abyss Esports,20170723,3,1.10,N/a,7.22,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-abyss-esports-league-of-legends-8vJgQoXM/
Team Regicide,Tainted Minds,20170723,3,2.22,N/a,1.68,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/team-regicide-league-of-legends-tainted-minds-league-of-legends-j3OlRRHG/
Team Regicide,Sin Gaming,20170722,3,7.22,N/a,1.10,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/team-regicide-league-of-legends-sin-gaming-league-of-legends-CCPpS72A/
Avant Garde,Abyss Esports,20170722,3,1.20,N/a,4.67,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-abyss-esports-league-of-legends-IkQtTmm4/
Legacy eSports,Chiefs Esports Club,20170721,3,2.15,N/a,1.71,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-chiefs-esports-club-league-of-legends-4nMxUTXc/
LG Dire Wolves,Sin Gaming,20170721,3,1.17,N/a,5.15,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/lg-dire-wolves-league-of-legends-sin-gaming-league-of-legends-MNWXU9Ii/
Sin Gaming,Abyss Esports,20170716,3,1.25,N/a,4.04,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-abyss-esports-league-of-legends-rXXTVk3o/
Tainted Minds,Chiefs Esports Club,20170716,3,7.22,N/a,1.10,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/tainted-minds-league-of-legends-chiefs-esports-club-league-of-legends-GQqn76Qp/
Avant Garde,LG Dire Wolves,20170715,3,2.90,N/a,1.42,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-lg-dire-wolves-league-of-legends-EHcKBnIT/
Legacy eSports,Team Regicide,20170715,3,1.06,N/a,9.97,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-team-regicide-league-of-legends-Wh8FCS2N/
LG Dire Wolves,Abyss Esports,20170625,3,1.06,N/a,9.23,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/lg-dire-wolves-league-of-legends-abyss-esports-league-of-legends-Ik4BD8mH/
Legacy eSports,Tainted Minds,20170625,3,1.17,N/a,5.25,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-tainted-minds-league-of-legends-OS47ElYA/
Chiefs Esports Club,Team Regicide,20170624,3,1.08,N/a,8.40,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-team-regicide-league-of-legends-px63FUI4/
Sin Gaming,Avant Garde,20170624,3,2.25,N/a,1.66,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-avant-garde-league-of-legends-S0BbGA3b/
Tainted Minds,Sin Gaming,20170618,3,3.91,N/a,1.24,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/tainted-minds-league-of-legends-sin-gaming-league-of-legends-lACfHjlh/
Chiefs Esports Club,Abyss Esports,20170618,3,1.06,N/a,9.23,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-abyss-esports-league-of-legends-fmDjIWYo/
Legacy eSports,Avant Garde,20170617,3,1.33,N/a,3.06,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-avant-garde-league-of-legends-d2fmJCJu/
Avant Garde,Tainted Minds,20170611,3,-,N/a,-,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-tainted-minds-league-of-legends-jLsuF07O/
Legacy eSports,Sin Gaming,20170611,3,1.57,N/a,2.44,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-sin-gaming-league-of-legends-MowyGthI/
Team Regicide,Abyss Esports,20170610,3,1.81,N/a,2.02,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/team-regicide-league-of-legends-abyss-esports-league-of-legends-revXGMxC/
Legacy eSports,Sin Gaming,20170409,5,1.40,N/a,2.98,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-sin-gaming-league-of-legends-6TZ4rSla/
Chiefs Esports Club,Sin Gaming,20170408,5,1.10,N/a,6.25,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-sin-gaming-league-of-legends-pvLYBvUA/
Avant Garde,Sin Gaming,20170407,5,2.17,N/a,1.70,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-sin-gaming-league-of-legends-jBUvBHjk/
Abyss Esports,Legacy eSports,20170402,3,9.73,N/a,1.02,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/abyss-esports-league-of-legends-legacy-esports-league-of-legends-0WOUp4l8/
Sin Gaming,Avant Garde,20170401,3,1.50,N/a,2.62,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-avant-garde-league-of-legends-pOtrN0d1/
Chiefs Esports Club,Tainted Minds,20170401,3,1.13,N/a,5.61,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/chiefs-esports-club-league-of-legends-tainted-minds-league-of-legends-j1svOtse/
Sin Gaming,Abyss Esports,20170326,3,1.33,N/a,3.35,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-abyss-esports-league-of-legends-fZmVP2Cr/
Avant Garde,Legacy eSports,20170325,3,2.86,N/a,1.43,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-legacy-esports-league-of-legends-b32aVOlL/
Abyss Esports,Avant Garde,20170319,3,4.38,N/a,1.22,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/abyss-esports-league-of-legends-avant-garde-league-of-legends-nTbeW4ZE/
Legacy eSports,Sin Gaming,20170318,3,1.19,N/a,4.87,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-sin-gaming-league-of-legends-QDAnYQ42/
Sin Gaming,Chiefs Esports Club,20170311,3,4.91,N/a,1.14,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-chiefs-esports-club-league-of-legends-p0xQGPZR/
Legacy eSports,Chiefs Esports Club,20170305,3,2.46,N/a,1.47,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-chiefs-esports-club-league-of-legends-69wMH5KL/
Avant Garde,Chiefs Esports Club,20170218,3,7.40,N/a,1.10,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/avant-garde-league-of-legends-chiefs-esports-club-league-of-legends-dIfSDy2j/
Abyss Esports,Chiefs Esports Club,20170212,3,12.28,N/a,1.03,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/abyss-esports-league-of-legends-chiefs-esports-club-league-of-legends-QZ3dJcvT/
Abyss Esports,Avant Garde,20170204,3,3.65,N/a,1.29,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/abyss-esports-league-of-legends-avant-garde-league-of-legends-Gp4XO1Ai/
Sin Gaming,Legacy eSports,20170204,3,9.72,N/a,1.06,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-legacy-esports-league-of-legends-2sGk0IXj/
Legacy eSports,Abyss Esports,20170128,3,1.16,N/a,5.47,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-abyss-esports-league-of-legends-46zF6KfN/
Sin Gaming,Avant Garde,20170128,3,2.87,N/a,1.43,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/sin-gaming-league-of-legends-avant-garde-league-of-legends-dtyB70uH/
Legacy eSports,Avant Garde,20170122,3,1.22,N/a,4.39,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/legacy-esports-league-of-legends-avant-garde-league-of-legends-Ikx78tQA/
Abyss Esports,Sin Gaming,20170122,3,1.66,N/a,2.25,http://www.oddsportal.com/esports/australia/league-of-legends-oceanic-pro-league-2017/abyss-esports-league-of-legends-sin-gaming-league-of-legends-zRn29MA4/
Vivo Keyd,ProGaming e-Sports,20180609,3,1.31,N/a,3.36,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/vivo-keyd-league-of-legends-progaming-e-sports-league-of-legends-tbOe4333/
INTZ-eSports,KaBuM! e-Sports,20180609,3,2.97,N/a,1.38,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/intz-esports-league-of-legends-kabum-e-sports-league-of-legends-27Pi5qlc/
KaBuM! e-Sports,Keyd Stars,20180407,5,1.79,N/a,1.95,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/kabum-e-sports-league-of-legends-keyd-stars-league-of-legends-rJ87VU4L/
RED Canids,Keyd Stars,20180324,5,1.30,N/a,3.31,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/red-canids-league-of-legends-keyd-stars-league-of-legends-rD9KSmqA/
Keyd Stars,CNB e-Sports,20180318,5,1.53,N/a,2.39,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/keyd-stars-league-of-legends-cnb-e-sports-league-of-legends-EoZKIaZ6/
CNB e-Sports,ProGaming e-Sports,20180317,5,2.88,N/a,1.38,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/cnb-e-sports-league-of-legends-progaming-e-sports-league-of-legends-8Kri7WIm/
paiN Gaming,RED Canids,20180311,3,3.31,N/a,1.30,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/pain-gaming-league-of-legends-red-canids-league-of-legends-CjhcIrh4/
INTZ-eSports,KaBuM! e-Sports,20180311,3,2.96,N/a,1.37,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/intz-esports-league-of-legends-kabum-e-sports-league-of-legends-YaggJOxb/
CNB e-Sports,Keyd Stars,20180310,3,2.88,N/a,1.38,http://www.oddsportal.com/esports/brazil/league-of-legends-circuito-brasileiro-de-league-of-legends/cnb-e-sports-league-of-legends-keyd-stars-league-of-legends-jy4lK4Ni/
