20180203;1;;;;Infinity eSports;Dash9 Gaming;1-0;Relic,SolidSnake,Cotopaco,Fuzzy,Baula;Akunma,Fénec,Leza,Zeypher,Gralou;LAN;blue;LLN Spring 2018;Infinity eSports
20180203;1;;;;Zaga Talent Gaming;Gaming Gaming;1-0;Pillo,Julaxe,Zoiren,Andreus,Grisen;Buggax,Agonistic,Regi,1an,NerzhuL;LAN;blue;LLN Spring 2018;Zaga Talent Gaming
20180203;1;;;;Predators eSports;6Sense;1-0;Mantarray,Acerola,Icytower,GeneralMint,Arce;jer0m,Itsi,Zelt,Shakeit,Choisix;LAN;blue;LLN Spring 2018;Predators eSports
20180203;3;;;;GIGABYTE Marines;Young Generation;0-1,0-1;Zeros,Sya,Zeroday,Noway,Archie:Zeros,KrissKyle,Zeroday,Noway,Archie;Ren,Venus,Naul,BigKoro,Palette:Ren,Venus,Naul,BigKoro,Palette;VN;red,blue;VCS Spring 2018;GIGABYTE Marines,Young Generation
20180203;3;;;;Cherry Gaming;EVOS Esports;0-1,0-1;Boong,Potm,Artifact,Clear,Kidz:Boong,Potm,Artifact,Clear,Kidz;Stark,YiJin,Warzone,Slay,RonOP:Stark,YiJin,Warzone,Slay,RonOP;VN;red,blue;VCS Spring 2018;Cherry Gaming,EVOS Esports
20180203;3;1.12;N/a;5.71;Order;Sin Gaming;1-0,1-0;Tally,Spookz,Swiffer,FBI,Rogu:Tally,Spookz,Swiffer,FBI,Rogu;Praedyth,Juves,Bdoink,Dream,Cuden:Praedyth,Juves,Bdoink,Dream,Cuden;OCE;blue,red;OPL Split 1 2018;Order,Sin Gaming
20180203;3;1.04;N/a;9.24;Chiefs Esports Club;Tectonic;1-0,1-0;Swip3rr,Babip,Ryoma,Raes,Destiny:Swip3rr,Babip,Ryoma,Raes,Destiny;Papryze,Swathe,Shok,Low,Tilting:Papryze,Swathe,Shok,Low,Tilting;OCE;blue,red;OPL Split 1 2018;Chiefs Esports Club,Tectonic
20180203;1;;;;Furious Gaming;Kaos Latin Gamers;0-1;Accelerator,Josedeodo,Nobody,Prodigy,Tulz;Nate,Tierwulf,Plugo,Fix,Slow;LAS;red;CLS Opening 2018;Furious Gaming
20180203;1;;;;Isurus Gaming;Dark Horse;1-0;Nipphu,QQMore,Emp,Kindless,Newbie;Hazard,Rakyl,Sonata,Tomnam,Hayha;LAS;blue;CLS Opening 2018;Isurus Gaming
20180203;1;;;;Rebirth Esports;Hafnet Esports;0-1;Fitz,Leozuxo,Rakyz,Warangelus,Shadow;LukasNegro,Khynm,Gambite,Kaoz,Badmilk;LAS;red;CLS Opening 2018;Rebirth Esports
20180203;1;;;;Universidad Catolica;Legatum;1-0;Sunblast,Woofi,Magico,Kimi,Nekhazten;Helior,Clatos,Kirito,Nothing,Caos;LAS;blue;CLS Opening 2018;Universidad Catolica
20180203;1;1.45;N/a;2.80;Misfits;Splyce;0-1;Alphari,Maxlore,Sencux,Hans sama,Mikyx;Odoamne,Xerxe,Nisqy,Kobbe,KaSing;EUW;red;EU LCS Spring 2018;Misfits
20180203;1;3.38;N/a;1.33;H2k-Gaming;G2 Esports;0-1;SmittyJ,Santorin,Caedrel,Sheriff,Promisq;Wunder,Jankos,Perkz,Hjarnan,Wadid;EUW;red;EU LCS Spring 2018;H2k-Gaming
20180203;1;2.49;N/a;1.55;ROCCAT;Fnatic;0-1;Profit,Memento,Blanc,HeaQ,Norskeren;sOAZ,Broxah,Caps,Rekkles,Hylissang;EUW;red;EU LCS Spring 2018;ROCCAT
20180203;1;2.03;N/a;1.80;FC Schalke 04;Giants;1-0;Vizicsacsi,Pride,Nukeduck,UpseT,VandeR;Ruin,Djoko,Betsy,Steeelback,Targamas;EUW;blue;EU LCS Spring 2018;FC Schalke 04
20180203;1;3.09;N/a;1.38;Unicorns Of Love;Vitality;0-1;Whiteknight,Kold,Exileh,Samux,Totoro;Cabochard,Gilius,Jiizuke,Attila,Jacktroll;EUW;red;EU LCS Spring 2018;Unicorns Of Love
20180203;1;;;;Dark Passage;YouthCrew Esports;1-0;Marshall,Kakao,Lucete,Ruvelius,Japone;Elwind,Mojito,Xico,Madness,Zzus;TR;blue;TCL Spring 2018;Dark Passage
20180203;1;;;;1907 Fenerbahce;Team Aurora;1-0;Thaldrin,Chaser,Frozen,Padden,Zergsting;Panky,Wisdom,Naru,Rain,Farfetch;TR;blue;TCL Spring 2018;1907 Fenerbahce
20180203;1;;;;Galakticos;HWA Gaming;0-1;Rare,Viking,Backlund,J1mmy,Veux;Armut,Trix,Ninja,Achuu,Revanche;TR;red;TCL Spring 2018;Galakticos
20180203;1;;;;Royal Bandits;SuperMassive;0-1;Broken Blade,Malrang,Cepted,Holyphoenix,Dumbledoge;Fabfabulous,Stomaged,GBM,Zeitnot,Snowflower;TR;red;TCL Spring 2018;Royal Bandits
20180203;3;;;;Team oNe Esports;Vivo Keyd;0-1,0-1;Vvert,4LaN,Brucer,Lactea,RedBert:Vvert,4LaN,Brucer,Lactea,RedBert;Yang,Revolta,Tockers,Micao,Jockster:Yang,Revolta,Tockers,Micao,Jockster;BR;red,blue;CBLOL Summer 2018;Team oNe Esports,Vivo Keyd
20180203;3;4.29;N/a;1.17;CNB Esports Club;Pain Gaming;1-0,0-1,1-0;Yampi,Turtle,Robo,pbO,Baiano:Yampi,Turtle,Robo,pbO,Baiano:Yampi,Turtle,Robo,pbO,Baiano;Takeshi,Tay,Tinowns,Matsukaze,Loop:Takeshi,Tay,Tinowns,Matsukaze,Loop:Takeshi,Tay,Tinowns,Matsukaze,Loop;BR;blue,blue,blue;CBLOL Summer 2018;CNB Esports Club,Pain Gaming,CNB Esports Club
20180203;3;1.41;N/a;2.93;Snake Esports;OMG;1-0,0-1,1-0;Flandre,SofM,Guoguo,kRYST4L,Hudie:Flandre,SofM,Guoguo,kRYST4L,Hudie:Flandre,SofM,Guoguo,kRYST4L,Hudie;Xiyang,Iceloli,icon,Chelly,Five:Xiyang,World6,icon,Chelly,Five:Xiyang,World6,icon,Chelly,Five;CN;blue,blue,blue;LPL Spring 2018;Snake Esports,OMG,Snake Esports
20180203;3;2.96;N/a;1.41;SN Gaming;Royal Never Give Up;1-0,1-0;XiaoAL,H4cker,Knight,Fury,Yoon:XiaoAL,H4cker,Knight,Fury,Yoon;LetMe,Mlxg,xiaohu,Y4,Ming:Zz1tai,Mlxg,xiaohu,Able,Ming;CN;blue,blue;LPL Spring 2018;SN Gaming,SN Gaming
20180203;3;1.64;N/a;2.29;JD Gaming;Rogue Warriors;0-1,0-1;Zoom,Clid,Yagao,LokeN,LvMao:Zoom,Clid,Yagao,LokeN,LvMao;Mouse,Flawless,Doinb,SmLz,Killua:Mouse,Flawless,Doinb,SmLz,Killua;CN;red,red;LPL Spring 2018;JD Gaming,JD Gaming
20180203;3;1.11;N/a;6.79;Flash Wolves;Hong Kong Attitude;1-0,1-0;Hanabi,MooJin,Maple,Betty,SwordArt:MMd,MooJin,Maple,Betty,SwordArt;Riris,Gemini,Gear,Unified,Kaiwing:Riris,Gemini,Gear,Unified,Kaiwing;TW;blue,blue;LMS Spring 2018;Flash Wolves,Flash Wolves
20180203;3;1.24;N/a;4.17;KSV Esports;bbq Olivers;0-1,1-0,1-0;CuVee,Ambition,Crown,Ruler,CoreJJ:CuVee,Haru,Crown,Ruler,CoreJJ:CuVee,Haru,Crown,Ruler,CoreJJ;Crazy,Bono,Tempt,Ghost,IgNar:Crazy,Bono,Tempt,Ghost,IgNar:Crazy,Bono,Tempt,Ghost,IgNar;KR;red,red,blue;LCK Spring 2018;KSV Esports,bbq Olivers,KSV Esports
20180203;3;1.13;N/a;6.15;Kingzone DragonX;Kongdoo Monster;1-0,1-0;Khan,Peanut,Bdd,PraY,GorillA:Khan,Peanut,Bdd,PraY,GorillA;Roach,Raise,Edge,SSol,Secret:Roach,U Jun,Edge,SSol,Secret;KR;blue,red;LCK Spring 2018;Kingzone DragonX,Kongdoo Monster
20180203;1;;;;TSM Academy;Golden Guardians Academy;1-0;Brandini,Grigne,Ablazeolive,Mr Rallez,Shady;Jenkins,Potluck,bobqin,Jurassiq,Xpecial;NA;blue;NA Academy Spring 2018;TSM Academy
20180203;1;;;;FlyQuest Academy;Team Liquid Academy;0-1;Ngo,AnDa,Pekin Woof,Erry,JayJ;V1PER,Hard,Mickey,Shoryu,Joey;NA;red;NA Academy Spring 2018;FlyQuest Academy
20180203;1;;;;Clutch Gaming Academy;100 Thieves Academy;0-1;Maxtrobo,Moon,Sun,Eclipse,Vulcan;kaizen,Kitzuo,Linsanity,Rikara,Whyin;NA;red;NA Academy Spring 2018;Clutch Gaming Academy
20180203;1;;;;Cloud 9 Academy;OpTic Gaming Academy;1-0;Shiro,Wiggily,Goldenglue,Keith,Zeyzal;Dhokla,Kadir,Palafox,Andy,Winter;NA;blue;NA Academy Spring 2018;Cloud 9 Academy
20180203;1;;;;Echo Fox Academy;CLG Academy;1-0;Allorim,TheOddOrange,Damonte,Lost,PapaChau;FallenBandit,OmarGod,Shadow,Zag,Fill;NA;blue;NA Academy Spring 2018;Echo Fox Academy
